year,column,rows,missing_count,missing_rate,flag_missing_rate
2003,Q_m3s,5,0,0.0,False
2003,temperature_2m_C,5,0,0.0,False
2003,positive_degree_day_Cday,5,0,0.0,False
2003,snow_cover_fraction,5,0,0.0,False
2003,snow_depletion_rate_7d,5,1,0.2,False
2003,surface_runoff_m,5,0,0.0,False
2003,sin_doy,5,0,0.0,False
2003,cos_doy,5,0,0.0,False
2004,Q_m3s,42,0,0.0,False
2004,temperature_2m_C,42,1,0.023809523809523808,False
2004,positive_degree_day_Cday,42,1,0.023809523809523808,False
2004,snow_cover_fraction,42,4,0.09523809523809523,False
2004,snow_depletion_rate_7d,42,6,0.14285714285714285,False
2004,surface_runoff_m,42,1,0.023809523809523808,False
2004,sin_doy,42,0,0.0,False
2004,cos_doy,42,0,0.0,False
2005,Q_m3s,42,0,0.0,False
2005,temperature_2m_C,42,1,0.023809523809523808,False
2005,positive_degree_day_Cday,42,1,0.023809523809523808,False
2005,snow_cover_fraction,42,2,0.047619047619047616,False
2005,snow_depletion_rate_7d,42,9,0.21428571428571427,False
2005,surface_runoff_m,42,1,0.023809523809523808,False
2005,sin_doy,42,0,0.0,False
2005,cos_doy,42,0,0.0,False
2006,Q_m3s,11,0,0.0,False
2006,temperature_2m_C,11,1,0.09090909090909091,False
2006,positive_degree_day_Cday,11,1,0.09090909090909091,False
2006,snow_cover_fraction,11,5,0.45454545454545453,False
2006,snow_depletion_rate_7d,11,5,0.45454545454545453,False
2006,surface_runoff_m,11,1,0.09090909090909091,False
2006,sin_doy,11,0,0.0,False
2006,cos_doy,11,0,0.0,False
2007,Q_m3s,1,0,0.0,False
2007,temperature_2m_C,1,0,0.0,False
2007,positive_degree_day_Cday,1,0,0.0,False
2007,snow_cover_fraction,1,1,1.0,True
2007,snow_depletion_rate_7d,1,1,1.0,True
2007,surface_runoff_m,1,0,0.0,False
2007,sin_doy,1,0,0.0,False
2007,cos_doy,1,0,0.0,False
2009,Q_m3s,29,1,0.034482758620689655,False
2009,temperature_2m_C,29,1,0.034482758620689655,False
2009,positive_degree_day_Cday,29,1,0.034482758620689655,False
2009,snow_cover_fraction,29,5,0.1724137931034483,False
2009,snow_depletion_rate_7d,29,6,0.20689655172413793,False
2009,surface_runoff_m,29,1,0.034482758620689655,False
2009,sin_doy,29,0,0.0,False
2009,cos_doy,29,0,0.0,False
2010,Q_m3s,31,1,0.03225806451612903,False
2010,temperature_2m_C,31,1,0.03225806451612903,False
2010,positive_degree_day_Cday,31,1,0.03225806451612903,False
2010,snow_cover_fraction,31,7,0.22580645161290322,False
2010,snow_depletion_rate_7d,31,10,0.3225806451612903,False
2010,surface_runoff_m,31,1,0.03225806451612903,False
2010,sin_doy,31,0,0.0,False
2010,cos_doy,31,0,0.0,False
2011,Q_m3s,30,0,0.0,False
2011,temperature_2m_C,30,1,0.03333333333333333,False
