comparison,model_id,validation_scheme,baseline_feature_set,candidate_feature_set,baseline_rmse,candidate_rmse,rmse_reduction,baseline_mae,candidate_mae,mae_reduction,baseline_r2,candidate_r2,r2_gain,baseline_bias_mean,candidate_bias_mean,bias_mean_change_abs
F2_minus_F1_value_of_Q,linear_regression,leave_one_year_out,F1_season_only,F2_q_season,3.38463524321529,2.688525884820433,0.6961093583948568,2.6648631269073677,2.127829670942398,0.5370334559649699,0.09234902493813746,0.4273047536764787,0.33495572873834123,0.0047859651432762395,0.00663429421927596,0.0018483290759997205
F2_minus_F1_value_of_Q,ridge_alpha_0.1,leave_one_year_out,F1_season_only,F2_q_season,3.384633674009994,2.688516073318317,0.6961176006916769,2.664859415891023,2.1278140255664058,0.5370453903246171,0.09234986655933719,0.42730893365510547,0.3349590670957683,0.004785279519184118,0.0066350659905974685,0.0018497864714133502
F2_minus_F1_value_of_Q,ridge_alpha_1,leave_one_year_out,F1_season_only,F2_q_season,3.3846203801323638,2.688444524285804,0.6961758558465596,2.664826072049212,2.12767348803152,0.5371525840176923,0.09235699652805496,0.4273394151142983,0.33498241858624334,0.004779118464367233,0.006641964237354403,0.00186284577298717
F2_minus_F1_value_of_Q,ridge_alpha_10,leave_one_year_out,F1_season_only,F2_q_season,3.3845662629758237,2.6892013766734717,0.695364886302352,2.66449802436979,2.1270974488929237,0.5374005754768665,0.09238602115137995,0.42701693828032905,0.3346309171289491,0.004718441504469353,0.006706273115124972,0.0019878316106556188
F3_minus_F2_value_of_river_fixed_effects,linear_regression,leave_one_year_out,F2_q_season,F3_q_season_river_fixed,2.688525884820433,2.2421998859374166,0.4463259988830166,2.127829670942398,1.6697673260088448,0.458062344933553,0.4273047536764787,0.6016692938511903,0.1743645401747116,0.00663429421927596,0.002310684637862089,-0.004323609581413871
F3_minus_F2_value_of_river_fixed_effects,ridge_alpha_0.1,leave_one_year_out,F2_q_season,F3_q_season_river_fixed,2.688516073318317,2.242172019632265,0.4463440536860519,2.1278140255664058,1.6695625124536313,0.45825151311277446,0.42730893365510547,0.6016791947847352,0.17437026112962972,0.0066350659905974685,0.0023254523284239525,-0.004309613662173516
F3_minus_F2_value_of_river_fixed_effects,ridge_alpha_1,leave_one_year_out,F2_q_season,F3_q_season_river_fixed,2.688444524285804,2.2420822729715915,0.4463622513142127,2.12767348803152,1.668080954460471,0.4595925335710487,0.4273394151142983,0.6017110810507276,0.17437166593642928,0.006641964237354403,0.00245422841515632,-0.004187735822198083
F3_minus_F2_value_of_river_fixed_effects,ridge_alpha_10,leave_one_year_out,F2_q_season,F3_q_season_river_fixed,2.6892013766734717,2.2518257485166036,0.43737562815686815,2.1270974488929237,1.6681628619553872,0.4589345869375365,0.42701693828032905,0.5982418500969058,0.17122491181657673,0.006706273115124972,0.0034415713897555343,-0.0032647017253694373
F4_minus_F2_value_of_hydroclimate_without_river,linear_regression,leave_one_year_out,F2_q_season,F4_reduced_hydroclimate,2.688525884820433,2.7005086556330333,-0.01198277081260013,2.127829670942398,2.1250551711674546,0.002774499774943262,0.4273047536764787,0.4221883670629346,-0.005116386613544077,0.00663429421927596,0.025864287599353983,0.019229993380078022
F4_minus_F2_value_of_hydroclimate_without_river,ridge_alpha_0.1,leave_one_year_out,F2_q_season,F4_reduced_hydroclimate,2.688516073318317,2.7004558981173905,-0.011939824799073406,2.1278140255664058,2.1250021017011256,0.002811923865280175,0.42730893365510547,0.4222109432605192,-0.005097990394586249,0.0066350659905974685,0.025847679104158746,0.01921261311356128
F4_minus_F2_value_of_hydroclimate_without_river,ridge_alpha_1,leave_one_year_out,F2_q_season,F4_reduced_hydroclimate,2.688444524285804,2.7000042482369917,-0.01155972395118754,2.12767348803152,2.1245843936247777,0.003089094406742099,0.4273394151142983,0.42240419695222187,-0.004935218162076427,0.006641964237354403,0.025698792836038847,0.019056828598684444
F4_minus_F2_value_of_hydroclimate_without_river,ridge_alpha_10,leave_one_year_out,F2_q_season,F4_reduced_hydroclimate,2.6892013766734717,2.6975072916111755,-0.008305914937703829,2.1270974488929237,2.122512416517349,0.004585032375574727,0.42701693828032905,0.42347202103615245,-0.003544917244176604,0.006706273115124972,0.024268517646159525,0.017562244531034554
F6_minus_F3_incremental_hydroclimate_after_river,linear_regression,leave_one_year_out,F3_q_season_river_fixed,F6_reduced_hydroclimate_river_fixed,2.2421998859374166,2.2408742273616578,0.0013256585757588368,1.6697673260088448,1.6669285833699015,0.002838742638943348,0.6016692938511903,0.6021401657122847,0.0004708718610944018,0.002310684637862089,0.009820822076151037,0.007510137438288948
F6_minus_F3_incremental_hydroclimate_after_river,ridge_alpha_0.1,leave_one_year_out,F3_q_season_river_fixed,F6_reduced_hydroclimate_river_fixed,2.242172019632265,2.240848918658994,0.0013231009732712629,1.6695625124536313,1.666716059962206,0.002846452491425344,0.6016791947847352,0.6021491526150415,0.0004699578303063445,0.0023254523284239525,0.009838270809107364,0.007512818480683412
F6_minus_F3_incremental_hydroclimate_after_river,ridge_alpha_1,leave_one_year_out,F3_q_season_river_fixed,F6_reduced_hydroclimate_river_fixed,2.2420822729715915,2.2407770032345224,0.0013052697370690147,1.668080954460471,1.6649203993655768,0.003160555094894324,0.6017110810507276,0.6021746886100945,0.00046360755936691866,0.00245422841515632,0.00998950652544637,0.007535278110290049
F6_minus_F3_incremental_hydroclimate_after_river,ridge_alpha_10,leave_one_year_out,F3_q_season_river_fixed,F6_reduced_hydroclimate_river_fixed,2.2518257485166036,2.2503758531432725,0.001449895373331067,1.6681628619553872,1.6606252141161055,0.00753764783928168,0.5982418500969058,0.5987590479769367,0.0005171978800309063,0.0034415713897555343,0.011051072119171165,0.00760950072941563
F6_minus_F4_value_of_river_after_hydroclimate,linear_regression,leave_one_year_out,F4_reduced_hydroclimate,F6_reduced_hydroclimate_river_fixed,2.7005086556330333,2.2408742273616578,0.4596344282713756,2.1250551711674546,1.6669285833699015,0.4581265877975531,0.4221883670629346,0.6021401657122847,0.17995179864935007,0.025864287599353983,0.009820822076151037,-0.016043465523202946
F6_minus_F4_value_of_river_after_hydroclimate,ridge_alpha_0.1,leave_one_year_out,F4_reduced_hydroclimate,F6_reduced_hydroclimate_river_fixed,2.7004558981173905,2.240848918658994,0.45960697945839657,2.1250021017011256,1.666716059962206,0.4582860417389196,0.4222109432605192,0.6021491526150415,0.17993820935452232,0.025847679104158746,0.009838270809107364,-0.016009408295051382
F6_minus_F4_value_of_river_after_hydroclimate,ridge_alpha_1,leave_one_year_out,F4_reduced_hydroclimate,F6_reduced_hydroclimate_river_fixed,2.7000042482369917,2.2407770032345224,0.45922724500246925,2.1245843936247777,1.6649203993655768,0.4596639942592009,0.42240419695222187,0.6021746886100945,0.17977049165787262,0.025698792836038847,0.00998950652544637,-0.015709286310592478
F6_minus_F4_value_of_river_after_hydroclimate,ridge_alpha_10,leave_one_year_out,F4_reduced_hydroclimate,F6_reduced_hydroclimate_river_fixed,2.6975072916111755,2.2503758531432725,0.44713143846790304,2.122512416517349,1.6606252141161055,0.4618872024012435,0.42347202103615245,0.5987590479769367,0.17528702694078424,0.024268517646159525,0.011051072119171165,-0.01321744552698836
